place_id,relationships
1e5ec994-f29c-455f-8be8-a1295a7135de,"""\""[{\\\""target-credit\\\"": \\\""\\\"", \\\""work\\\"": {\\\""title\\\"": \\\""11\\\\u6708\\\\u306e\\\\u30a2\\\\u30f3\\\\u30af\\\\u30ec\\\\u30c3\\\\u30c8\\\"", \\\""id\\\"": \\\""9a16c733-d049-41d6-8756-191a47847470\\\"", \\\""disambiguation\\\"": \\\""\\\"", \\\""type\\\"": \\\""Song\\\"", \\\""languages\\\"": [\\\""jpn\\\""], \\\""iswcs\\\"": [\\\""T-923.751.687-9\\\""], \\\""language\\\"": \\\""jpn\\\"", \\\""type-id\\\"": \\\""f061270a-2fd6-32f1-a641-f0f8676d14e6\\\"", \\\""attributes\\\"": []}, \\\""attribute-values\\\"": {}, \\\""end\\\"": \\\""2017-10-31\\\"", \\\""begin\\\"": \\\""2017-10-31\\\"", \\\""ended\\\"": true, \\\""type-id\\\"": \\\""a4d2a7cb-365b-4b90-b52f-29469edf8ac0\\\"", \\\""target-type\\\"": \\\""work\\\"", \\\""attribute-ids\\\"": {}, \\\""type\\\"": \\\""premiere\\\"", \\\""source-credit\\\"": \\\""\\\"", \\\""direction\\\"": \\\""forward\\\"", \\\""attributes\\\"": []}, {\\\""target-type\\\"": \\\""work\\\"", \\\""ended\\\"": true, \\\""attribute-values\\\"": {}, \\\""begin\\\"": \\\""2017-10-31\\\"", \\\""end\\\"": \\\""2017-10-31\\\"", \\\""type-id\\\"": \\\""a4d2a7cb-365b-4b90-b52f-29469edf8ac0\\\"", \\\""work\\\"": {\\\""title\\\"": \\\""\\\\u30b5\\\\u30e8\\\\u30ca\\\\u30e9\\\\u3067\\\\u7d42\\\\u308f\\\\u308b\\\\u308f\\\\u3051\\\\u3058\\\\u3083\\\\u306a\\\\u3044\\\"", \\\""type\\\"": \\\""Song\\\"", \\\""disambiguation\\\"": \\\""\\\"", \\\""id\\\"": \\\""77968b4d-e913-4337-b38d-dc7dab3ec62f\\\"", \\\""type-id\\\"": \\\""f061270a-2fd6-32f1-a641-f0f8676d14e6\\\"", \\\""language\\\"": \\\""jpn\\\"", \\\""iswcs\\\"": [\\\""T-923.751.688-0\\\""], \\\""languages\\\"": [\\\""jpn\\\""], \\\""attributes\\\"": []}, \\\""target-credit\\\"": \\\""\\\"", \\\""attributes\\\"": [], \\\""direction\\\"": \\\""forward\\\"", \\\""source-credit\\\"": \\\""\\\"", \\\""type\\\"": \\\""premiere\\\"", \\\""attribute-ids\\\"": {}}]\"""""
b373028b-0c65-4fc3-abe1-e46df937e758,"""\""[]\"""""
2c5f3ae7-d718-49f9-a0a2-f69ca962a18a,"""\""[]\"""""
b40a4f68-5d3f-4b0b-a1fa-bae563079ba2,"""\""[]\"""""
9a75d0a6-1ce4-4046-9c70-6efa96b99b30,"""\""[]\"""""
9442b1ce-3fe3-445d-bb3d-8ced18ec20eb,"""\""[]\"""""
e7710ecf-b548-49c7-8b8b-4912919f3ae1,"""\""[{\\\""target-type\\\"": \\\""work\\\"", \\\""type-id\\\"": \\\""a4d2a7cb-365b-4b90-b52f-29469edf8ac0\\\"", \\\""source-credit\\\"": \\\""\\\"", \\\""work\\\"": {\\\""language\\\"": \\\""eng\\\"", \\\""iswcs\\\"": [\\\""T-060.894.377-6\\\""], \\\""languages\\\"": [\\\""eng\\\""], \\\""id\\\"": \\\""b98e5a21-3993-402a-9234-3b5fa78b25bf\\\"", \\\""disambiguation\\\"": \\\""\\\"", \\\""type\\\"": \\\""Song\\\"", \\\""title\\\"": \\\""White Diamond\\\"", \\\""attributes\\\"": [], \\\""type-id\\\"": \\\""f061270a-2fd6-32f1-a641-f0f8676d14e6\\\""}, \\\""begin\\\"": \\\""2006-11-11\\\"", \\\""end\\\"": \\\""2006-11-11\\\"", \\\""attribute-ids\\\"": {}, \\\""ended\\\"": true, \\\""attribute-values\\\"": {}, \\\""attributes\\\"": [], \\\""type\\\"": \\\""premiere\\\"", \\\""target-credit\\\"": \\\""\\\"", \\\""direction\\\"": \\\""forward\\\""}]\"""""
8846d4c1-b5d5-4827-ac70-e9a355648a1f,"""\""[]\"""""
1db907f6-7904-4f34-9fd4-6c36c422f706,"""\""[]\"""""
d514ab47-2dae-432e-8712-01d14f47ecca,"""\""[]\"""""
750b0424-7feb-4ff0-b68c-b12e3f4b31e4,"""\""[]\"""""
6f1e52af-5f6d-487c-ac06-b1be32c9a8c9,"""\""[{\\\""ended\\\"": true, \\\""source-credit\\\"": \\\""\\\"", \\\""target-type\\\"": \\\""work\\\"", \\\""type-id\\\"": \\\""a4d2a7cb-365b-4b90-b52f-29469edf8ac0\\\"", \\\""target-credit\\\"": \\\""\\\"", \\\""end\\\"": \\\""1901-03-02\\\"", \\\""attributes\\\"": [], \\\""attribute-ids\\\"": {}, \\\""work\\\"": {\\\""id\\\"": \\\""46e26de4-2711-4d34-9d13-8fb2048c5014\\\"", \\\""iswcs\\\"": [], \\\""languages\\\"": [\\\""zxx\\\""], \\\""title\\\"": \\\""V\\\\u00eapres pour le commun des vierges, op. 31\\\"", \\\""language\\\"": \\\""zxx\\\"", \\\""attributes\\\"": [], \\\""disambiguation\\\"": \\\""for organ\\\"", \\\""type\\\"": null, \\\""type-id\\\"": null}, \\\""attribute-values\\\"": {}, \\\""type\\\"": \\\""premiere\\\"", \\\""direction\\\"": \\\""forward\\\"", \\\""begin\\\"": \\\""1901-03-02\\\""}, {\\\""type\\\"": \\\""premiere\\\"", \\\""attribute-values\\\"": {}, \\\""begin\\\"": null, \\\""direction\\\"": \\\""forward\\\"", \\\""target-credit\\\"": \\\""\\\"", \\\""end\\\"": null, \\\""type-id\\\"": \\\""a4d2a7cb-365b-4b90-b52f-29469edf8ac0\\\"", \\\""target-type\\\"": \\\""work\\\"", \\\""source-credit\\\"": \\\""\\\"", \\\""ended\\\"": false, \\\""attributes\\\"": [], \\\""work\\\"": {\\\""type\\\"": null, \\\""type-id\\\"": null, \\\""disambiguation\\\"": \\\""\\\"", \\\""title\\\"": \\\""In Paradisum\\\"", \\\""language\\\"": \\\""zxx\\\"", \\\""attributes\\\"": [], \\\""id\\\"": \\\""82aaf4b5-0b7c-4fde-b792-51ea8f549b21\\\"", \\\""languages\\\"": [\\\""zxx\\\""], \\\""iswcs\\\"": []}, \\\""attribute-ids\\\"": {}}]\"""""
a01df26a-2df0-4737-a3ac-eb68ad06ad58,"""\""[]\"""""
1aa38521-2aa9-4630-a14f-e5113887a356,"""\""[]\"""""
a4dfaac6-4bb5-4a6f-ab3a-21068f3a4514,"""\""[]\"""""
eedcd42a-c06f-4106-a79f-291774b76b3e,"""\""[]\"""""
7c01633c-a21e-413f-80f3-7bcd2627bb50,"""\""[]\"""""
dd951fd7-18f3-41cd-a83b-33977ac83abd,"""\""[]\"""""
2d10278c-8245-470f-b398-dceb7a0558d9,"""\""[]\"""""
4f0bf52c-468e-4165-940d-79368d8fc791,"""\""[]\"""""
29621ec9-667f-4521-b0bd-dbc24f8efab1,"""\""[]\"""""
fe5a39f5-3b70-41bc-81db-f9cfa040a2e7,"""\""[]\"""""
349430fa-909c-45b2-b891-a8668c5fa30a,"""\""[]\"""""
125b77b6-6b55-44de-86b2-5b0a5d2999fa,"""\""[]\"""""
f9b70129-31e4-4464-a31c-108a2990683c,"""\""[]\"""""
cf1b776e-8394-4636-8804-98e25c176f64,"""\""[]\"""""
b8113131-b7ea-4af4-b7ec-d2c18926edd9,"""\""[]\"""""
ca9e1cc7-bbca-4c17-90cb-252b73a0a2cb,"""\""[]\"""""
3c16dea3-2773-4f35-b8c7-eeff45256929,"""\""[]\"""""
f928e63b-8a06-4360-82e2-4afb84f4e975,"""\""[]\"""""
437156a9-acba-4dae-8635-c2b04b835d89,"""\""[]\"""""
ddf74d4b-21de-46ef-af97-aff2d1ff17b6,"""\""[]\"""""
cfda5b34-58cd-4091-80fd-fc651a279f10,"""\""[]\"""""
c1fa7332-dcb9-46ca-b4bf-e5f9ebca7073,"""\""[]\"""""
e7905b59-a538-404d-b59f-8a162ec804f2,"""\""[]\"""""
24212f0e-e17a-482c-811a-366968bf3e5c,"""\""[]\"""""
9cf360e7-4520-4cfa-be30-6c70a3f85089,"""\""[]\"""""
31f169f1-1d61-4b2a-a565-cd80963b42ce,"""\""[]\"""""
9dcbf498-0a7e-4e7c-aff4-d19ea808e1c4,"""\""[]\"""""
