,place_id,arranged at,engineered at,recorded at,mixed at,edited at,remixed at,produced at,video shot at
148,bb0381ab-b8cc-4bb5-ad36-960593c3ff91,0,0,0,0,0,0,0,0
149,facaf12d-85de-476a-b8b8-1ebf135debea,0,0,0,0,0,0,0,0
150,1bbc4dd7-6cc0-4d6d-bac6-4dc9f032b7b2,0,0,0,0,0,0,0,0
151,1bbc20fc-cfa5-4240-8f79-4646e2994350,0,0,0,0,0,0,0,0
152,6b212795-2eda-497f-b6ac-fb1d439dccbb,0,0,0,0,0,0,0,0
153,da9240ef-a270-4580-acc9-aa3cf0aced19,0,0,0,0,0,0,0,0
154,e426abec-7cbb-4636-bddb-1186f22a8028,0,0,0,0,0,0,0,0
155,8254dd1d-b691-4f33-9b48-f537dd2e01e4,0,0,0,0,0,0,0,0
156,8f8bfda0-4147-4841-b9e5-0f2079e1b498,0,0,0,0,0,0,0,0
157,38228b86-8249-4991-a72e-fea53156625d,0,0,0,0,0,0,0,0
158,52bfa143-593c-4aa1-b038-70504a842db8,0,0,0,0,0,0,0,0
159,27b37f63-132b-4b1c-85b9-2218fd3ff801,0,0,0,0,0,0,0,0
160,92156d70-9d90-4a2b-8f06-52ff037f44b5,0,0,0,0,0,0,0,0
161,91a2cb15-f0af-48fd-bb90-bcb1d348bf62,0,0,0,0,0,0,0,0
162,7dd78322-7f1c-46a1-8056-da877956241e,0,0,0,0,0,0,0,0
163,c8a77092-ed83-4d37-bd22-419d00c668ee,0,0,0,0,0,0,0,0
164,5c97dd63-9c6b-4303-b621-e08e79ba055c,0,0,0,0,0,0,0,0
165,bca80da0-fdce-4c21-93b5-d4cfcfb9e2d9,0,0,0,0,0,0,0,0
