id,type,type-id,score,name,address,coordinates,area,life-span,disambiguation,aliases
aaae577e-5954-4d61-8367-4f49b368b6f5,Other,a0df5ead-0bd6-33d8-8444-855a9f3e9970,100,Teatro Comunale di Bologna,"Largo Respighi, 1, 40126 Bologna","{'latitude': '44.496334', 'longitude': '11.350465'}","{'id': 'f3045d73-6a82-43cd-934d-42e75a5f73f6', 'type': 'Municipality', 'type-id': '17246454-5ac4-36a1-b81a-4753eb2dab20', 'name': 'Bologna', 'sort-name': 'Bologna', 'life-span': {'ended': None}}",{'ended': None},,
82403c7e-9eb1-4aac-8928-c953066e4cf9,Other,a0df5ead-0bd6-33d8-8444-855a9f3e9970,100,Museumsplatz,"Museumsmeile, Friedrich-Ebert-Allee, 53113 Bonn","{'latitude': '50.714766', 'longitude': '7.121624'}","{'id': 'b86b7e97-c4e2-4ec2-942b-5a6cd8eea1da', 'type': 'City', 'type-id': '6fd8f29a-3d0a-32fc-980d-ea697b69da78', 'name': 'Bonn', 'sort-name': 'Bonn', 'life-span': {'ended': None}}","{'begin': '1997', 'end': '2012', 'ended': True}",,"[{'sort-name': 'Museumsplatz', 'type-id': 'fb68f9a2-622c-319b-83b0-bbff4127cdc5', 'name': 'Museumsplatz', 'locale': 'de', 'type': 'Place name', 'primary': True, 'begin-date': None, 'end-date': None}, {'sort-name': 'Museumsufer', 'type-id': '0a438b9c-1850-32de-b4bb-7f58f5048ea3', 'name': 'Museumsufer', 'locale': None, 'type': 'Search hint', 'primary': None, 'begin-date': None, 'end-date': None}]"
3ea1c353-8867-4142-887b-78cd1e9830ac,Venue,cd92781a-a73f-30e8-a430-55d7521338db,100,Espace Tonkin,1 rue Salvador Allende,"{'latitude': '45.775777', 'longitude': '4.863462'}","{'id': '5e2bc1ee-2dd7-47b3-a5eb-8293b134fb80', 'type': 'City', 'type-id': '6fd8f29a-3d0a-32fc-980d-ea697b69da78', 'name': 'Villeurbanne', 'sort-name': 'Villeurbanne', 'life-span': {'ended': None}}",{'ended': None},,
dadbc765-e266-4745-9e8c-b7ed60e554f9,Studio,05fa6a09-ff92-3d34-bdbb-5141d3c24f38,100,SWITCHBACK STUDIO,〒157-0061 東京都世田谷区北烏山8-3-16 太田倉庫2F奥,"{'latitude': '35.676278', 'longitude': '139.591871'}","{'id': '0e1913a7-6117-4ac1-86cb-defd69a2bd2b', 'type': 'District', 'type-id': '84039871-5e47-38ca-a66a-45e512c8290f', 'name': 'Kitakarasuyama', 'sort-name': 'Kitakarasuyama', 'life-span': {'ended': None}}","{'begin': '2004', 'ended': None}",,
b0f7909c-4d66-448d-a47f-388e1bff7a47,Studio,05fa6a09-ff92-3d34-bdbb-5141d3c24f38,100,Alpha Studio,,,,{'ended': None},,
8f516af4-8c48-4306-a3b1-b4d7e09a92bb,,,100,Nederlandse Hervormde Kerk,,,"{'id': '7c0d1012-2791-4fe3-b648-1e9d240c1690', 'type': 'City', 'type-id': '6fd8f29a-3d0a-32fc-980d-ea697b69da78', 'name': 'Oudkarspel', 'sort-name': 'Oudkarspel', 'life-span': {'ended': None}}",{'ended': None},,
7b84c56d-65aa-4bb1-990c-e6f977669a5b,Studio,05fa6a09-ff92-3d34-bdbb-5141d3c24f38,100,Salad Days Studio,,,"{'id': '2fb5445d-3987-49fe-957a-f730a7acc4a2', 'type': 'City', 'type-id': '6fd8f29a-3d0a-32fc-980d-ea697b69da78', 'name': 'Baltimore', 'sort-name': 'Baltimore', 'life-span': {'ended': None}}","{'begin': '1994', 'ended': None}",,
b9c825ca-260e-4e80-8649-94e3a519e851,Park,9c482e19-7975-4d38-bfca-ef00ba919c92,100,Hylands Park,London Road Chelmsford Essex CM2 8WQ,"{'latitude': '51.712299', 'longitude': '0.435505'}","{'id': '31c73193-85c6-4a15-ae27-61c173e30c81', 'type': 'City', 'type-id': '6fd8f29a-3d0a-32fc-980d-ea697b69da78', 'name': 'Chelmsford', 'sort-name': 'Chelmsford', 'life-span': {'ended': None}}",{'ended': None},,"[{'sort-name': 'V96 Festival Chelmsford', 'name': 'V96 Festival Chelmsford', 'locale': None, 'type': None, 'primary': None, 'begin-date': None, 'end-date': None}]"
e61f747d-1328-4b89-9925-2753b4541e22,Studio,05fa6a09-ff92-3d34-bdbb-5141d3c24f38,100,Erth Recording Studios,,,"{'id': '29a709d8-0320-493e-8d0c-f2c386662b7f', 'type': 'City', 'type-id': '6fd8f29a-3d0a-32fc-980d-ea697b69da78', 'name': 'Chicago', 'sort-name': 'Chicago', 'life-span': {'ended': None}}",{'ended': None},,
2ca08e2d-c869-4355-95bb-bf3131a54550,Stadium,62664fbd-cd55-3b5f-a5ea-fb5d1bc0113c,100,京セラドーム大阪,〒550-0023 大阪府大阪市西区千代崎3-中2-1,"{'latitude': '34.6693', 'longitude': '135.4761'}","{'id': '378d4b29-4729-4346-9b54-d955ebfe097a', 'type': 'District', 'type-id': '84039871-5e47-38ca-a66a-45e512c8290f', 'name': 'Chiyozaki', 'sort-name': 'Chiyozaki', 'life-span': {'ended': None}}","{'begin': '1997-03-01', 'ended': None}",,"[{'sort-name': 'Kyocera Dome Osaka', 'type-id': 'fb68f9a2-622c-319b-83b0-bbff4127cdc5', 'name': 'Kyocera Dome Osaka', 'locale': 'en', 'type': 'Place name', 'primary': True, 'begin-date': '2006-07-01', 'end-date': None}, {'sort-name': 'きょうセラドームおおさか', 'type-id': 'fb68f9a2-622c-319b-83b0-bbff4127cdc5', 'name': '京セラドーム大阪', 'locale': 'ja', 'type': 'Place name', 'primary': True, 'begin-date': '2006-07-01', 'end-date': None}, {'sort-name': 'Osaka Dome', 'type-id': 'fb68f9a2-622c-319b-83b0-bbff4127cdc5', 'name': 'Osaka Dome', 'locale': 'en', 'type': 'Place name', 'primary': None, 'begin-date': '1997-03-01', 'end-date': '2006-06-30'}, {'sort-name': 'おおさかドーム', 'type-id': 'fb68f9a2-622c-319b-83b0-bbff4127cdc5', 'name': '大阪ドーム', 'locale': 'ja', 'type': 'Place name', 'primary': None, 'begin-date': '1997-03-01', 'end-date': '2006-06-30'}]"
